Pincode,QWIK GNG.,Del Serv.,Shadowfax Serv.,Bluedart Serv,Qwik HD.,Del HD.,City,State,Zone,GNG P1,HD P1
110092,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110093,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110094,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110095,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110096,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110097,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110099,Active,Active,Active,InActive,Active,Active,DELHI,DELHI,NORTH,SJ93,SJ93
110102,InActive,Active,Active,InActive,InActive,Active,NEW DELHI,DELHI,NORTH,SJ93,SJ93
110106,InActive,Active,InActive,Active,InActive,Active,NORTH,DELHI,NORTH,SJ93,SJ93
110110,Active,Active,InActive,Active,Active,Active,DELHI,DELHI,NORTH,SJ93,SJ93
110119,InActive,Active,Active,Active,InActive,Active,South East,DELHI,NORTH,SJ93,SJ93
110124,InActive,Active,InActive,Active,InActive,Active,SOUTH,DELHI,NORTH,SJ93,SJ93
121001,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121002,Active,Active,Not active/Embargo,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121003,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121004,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121005,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121006,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121007,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121008,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121009,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121010,InActive,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121012,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121013,Active,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121014,Active,Active,InActive,Active,Active,Active,FARIDABAD,HARYANA,NORTH,SJ93,SJ93
121015,InActive,Active,InActive,Active,Active,Active,FARIDABAD,HARYANA,NORTH,SJ93,SJ93
121101,InActive,Active,InActive,Active,Active,Active,FARIDABAD,Haryana,NORTH,SJ93,SJ93
121102,InActive,Active,InActive,Active,Active,Active,PALWAL,Haryana,NORTH,SJ93,SJ93
121103,InActive,Active,InActive,Active,Active,Active,PALWAL,Haryana,NORTH,SJ93,SJ93
121105,Active,Active,Active,Active,Active,Active,PALWAL,Haryana,NORTH,SJ93,SJ93
121106,InActive,Active,InActive,Active,Active,Active,HODAL,Haryana,NORTH,SJ93,SJ93
121107,InActive,Active,InActive,Active,Active,Active,HODAL,Haryana,NORTH,SJ93,SJ93
122001,Active,Active,Not active/Embargo,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122002,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122003,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122004,Active,Active,Not active/Embargo,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122005,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122006,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122007,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122008,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122009,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122010,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122011,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122012,Active,Active,InActive,Active,Active,Active,DELHI,HARYANA,NORTH,SJ93,SJ93
122015,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122016,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122017,Active,Active,Active,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122018,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122051,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122052,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122098,InActive,Active,InActive,Active,InActive,Active,Gurgaon,HARYANA,NORTH,SJ93,SJ93
122101,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122102,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122103,Active,Active,InActive,Active,Active,Active,NUH,Haryana,NORTH,SJ93,SJ93
122104,InActive,Active,InActive,Active,InActive,Active,NUH,Haryana,NORTH,SJ93,SJ93
122105,Active,Active,InActive,Active,Active,Active,BHIWADI,Haryana,NORTH,SJ93,SJ93
122107,InActive,Active,InActive,Active,Active,Active,NUH,Haryana,NORTH,SJ93,SJ93
122108,InActive,Active,InActive,InActive,Active,Active,NUH,Haryana,NORTH,SJ93,SJ93
122413,Active,Active,InActive,Active,Active,Active,PATAUDI,Haryana,NORTH,SJ93,SJ93
122414,Active,Active,Active,InActive,Active,Active,PATAUDI,Haryana,NORTH,SJ93,SJ93
122502,Active,Active,InActive,InActive,Active,NSZ,REWARI Taluka,Haryana,NORTH,SJ93,SJ93
122503,Active,Active,Active,Active,Active,Active,PATAUDI,Haryana,NORTH,SJ93,SJ93
122504,Active,Active,Active,Active,Active,Active,PATAUDI,Haryana,NORTH,SJ93,SJ93
122505,Active,Active,InActive,Active,Active,Active,GURUGRAM,Haryana,NORTH,SJ93,SJ93
122506,Active,Active,Active,Active,Active,Active,PATAUDI,Haryana,NORTH,SJ93,SJ93
122508,InActive,Active,InActive,InActive,InActive,Active,Gurgaon,Haryana,NORTH,SJ93,SJ93
123001,InActive,Active,InActive,Active,InActive,Active,NARNAUL,Haryana,NORTH,SJ93,SJ93
123021,InActive,Active,Active,Active,Active,Active,NARNAUL,Haryana,NORTH,SJ93,SJ93
123023,InActive,Active,InActive,Active,InActive,Active,NARNAUL,Haryana,NORTH,SJ93,SJ93
123024,InActive,Active,InActive,Active,InActive,Active,MAHENDARGARH,Haryana,NORTH,SJ93,SJ93
123027,InActive,Active,InActive,Active,InActive,Active,MAHENDARGARH,Haryana,NORTH,SJ93,SJ93
123028,InActive,Active,InActive,Active,InActive,Active,NARNAUL,Haryana,NORTH,SJ93,SJ93
123029,InActive,Active,InActive,Active,InActive,Active,MAHENDARGARH,Haryana,NORTH,SJ93,SJ93
